Ticker,Date,Time,Open,High,Low,Close,Vol
HD,20040525,1600,34.6600,35.3100,34.3100,35.3000,7517900
HD,20040526,1600,35.2500,35.5400,34.9400,35.4600,6813900
HD,20040527,1600,35.5000,36.0200,35.4200,35.8400,8433900
HD,20040528,1600,35.8400,36.3000,35.7700,35.9200,7014700
HD,20040601,1600,35.7700,35.9200,35.5100,35.7600,6297800
HD,20040602,1600,35.0000,35.7300,34.8500,35.6700,11179200
HD,20040603,1600,35.5000,35.9900,35.2200,35.4800,7192000
HD,20040604,1600,35.5700,35.7700,35.3000,35.3300,8056500
HD,20040607,1600,35.5800,35.9500,35.2600,35.8400,7311300
HD,20040608,1600,35.7500,35.9500,35.3000,35.9300,7613500
HD,20040609,1600,35.4800,35.7400,35.3200,35.4400,8780500
HD,20040610,1600,35.6400,35.8300,35.2800,35.7500,8186700
HD,20040614,1600,35.5000,35.6900,35.0800,35.5100,5682500
HD,20040615,1600,35.8000,35.9800,35.6600,35.7700,7589900
HD,20040616,1600,35.7800,35.9000,35.5000,35.5800,2052100
HD,20040617,1600,35.9500,35.9600,35.5000,35.6700,5880500
HD,20040618,1600,35.6800,35.6800,35.2000,35.3700,13853300
HD,20040621,1600,35.2500,35.9100,35.2500,35.7200,7814000
HD,20040622,1600,35.3500,35.4100,34.7700,35.0400,10313900
HD,20040623,1600,34.9000,35.5000,34.7500,35.4400,7715000
HD,20040624,1600,35.5000,36.1100,35.3500,35.4000,8889900
HD,20040625,1600,35.5500,36.1300,35.2500,35.2500,13575100
HD,20040628,1600,35.5000,35.7500,35.3500,35.4600,6627700
HD,20040629,1600,35.3300,35.3400,34.8800,35.1700,7898200
HD,20040630,1600,35.0700,35.2600,34.8500,35.2000,6445000
HD,20040701,1600,35.2100,35.3500,34.6400,34.9900,7660100
HD,20040702,1600,34.9900,35.1900,34.4900,34.6900,6150700
HD,20040706,1600,34.4000,34.9600,34.2000,34.6700,6639600
HD,20040707,1600,34.5500,35.1200,34.5500,35.0000,5049600
